time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
1969/12/31/22:13:58.180000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
1969/12/31/22:13:58.190000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
1969/12/31/22:13:58.190000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
1969/12/31/22:13:58.200000,2.6966184481471656,0.0,0.0,0.0,0.0,-0.546089325959062
1969/12/31/22:13:58.200000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.210000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.210000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.220000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.220000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.230000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.230000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.240000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.240000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.250000,2.7140832384848936,0.0,0.0,0.0,0.0,-0.4792961330386658
1969/12/31/22:13:58.250000,2.727500752585553,0.0,0.0,0.0,0.0,-0.40576805036730634
1969/12/31/22:13:58.260000,2.727500752585553,0.0,0.0,0.0,0.0,-0.40576805036730634
1969/12/31/22:13:58.260000,2.727500752585553,0.0,0.0,0.0,0.0,-0.40576805036730634
1969/12/31/22:13:58.270000,2.727500752585553,0.0,0.0,0.0,0.0,-0.40576805036730634
1969/12/31/22:13:58.270000,2.727500752585553,0.0,0.0,0.0,0.0,-0.40576805036730634
1969/12/31/22:13:58.280000,2.727500752585553,0.0,0.0,0.0,0.0,-0.40576805036730634
1969/12/31/22:13:58.280000,2.727500752585553,0.0,0.0,0.0,0.0,-0.40576805036730634
1969/12/31/22:13:58.290000,2.727500752585553,0.0,0.0,0.0,0.0,-0.40576805036730634
1969/12/31/22:13:58.290000,2.7193129026405067,0.0,0.0,0.0,0.0,-0.3435403568315195
